id,loss
4,555.7911465
6,731.7514905
9,3594.720069
12,2172.581839
15,322.7152073
17,890.4800124
21,845.2005227
28,310.111198
32,847.8475028
43,1115.658417
46,981.6776667
50,343.2060256
54,481.9103532
62,708.8784578
70,773.9941762
71,1806.59559
75,747.403665
77,825.2680301
81,910.3652353
83,824.2482089
87,728.3397762
97,636.5197135
103,478.1016417
119,434.9447872
120,683.8061442
127,351.833092
138,1389.563467
141,1322.102801
148,233.3177098
150,904.4305908
151,806.6701872
158,579.557798
160,2092.03411
165,947.747185
168,1341.062239
169,1498.784119
177,1031.968028
178,1242.543188
184,743.723107
194,3275.532544
198,588.3397466
203,1379.356324
211,933.5068392
217,421.6960072
219,506.9878412
221,1534.411586
227,615.0237716
230,541.1606276
235,748.5888615
240,260.5134602
243,1039.846727
249,2619.730274
253,1069.505426
258,512.5126018
261,598.4662509
263,1327.358055
264,917.9176442
265,1563.038997
268,642.1055757
271,392.1103439
274,1966.86674
275,255.0260541
279,626.0732251
282,540.2322017
286,1108.290839
288,473.4256248
294,817.3096392
296,398.1214924
297,555.417195
300,300.3920035
303,3141.681138
314,382.483649
315,1632.302726
321,928.4821851
323,1445.414025
330,1268.820863
341,693.7958533
342,1526.626392
352,597.4736024
353,1313.681653
360,1848.969482
361,776.0938446
362,1665.255256
366,457.5126803
372,1210.417054
376,1031.021935
377,907.5527411
379,605.2776898
380,1411.437273
387,691.5198177
392,683.019195
394,3582.688255
395,569.8691159
397,554.3561836
407,1972.071248
411,3001.92427
416,924.9193852
417,546.7979038
419,1419.835265
428,1832.608365
431,654.1720915
436,3181.744379
438,568.1739602
445,2497.910334
446,2282.568993
455,489.1707478
456,498.1424724
461,343.7893326
463,701.5781474
464,1376.203377
466,638.1604526
467,499.7088454
470,449.7630429
475,517.8263293
482,1106.5891
490,1184.342641
496,625.3751156
497,1358.522679
508,1047.408005
510,694.103855
512,583.6388462
513,1143.969799
523,679.2431906
531,1641.059241
532,809.0209852
533,491.0174731
537,414.6438139
544,1677.260473
547,964.4134748
556,2806.911238
565,476.391771
566,447.1805396
571,528.1305248
573,522.1934593
574,325.9998291
581,717.9928753
585,724.579557
589,748.0300961
597,593.9645355
601,1289.052428
602,650.4515044
613,611.794196
616,545.4361492
619,867.9765033
622,811.1562128
623,693.7288285
629,577.9473862
634,564.2282755
638,354.7644728
642,387.8905267
643,717.741346
645,367.490706
648,2556.083034
652,491.4319243
664,395.1412536
666,800.4398896
672,320.4707884
676,672.7442226
678,1446.669452
682,635.2155299
686,1068.293958
688,831.9412566
689,466.3050261
690,587.0063878
692,3614.406282
695,586.7562642
697,1468.06633
698,771.6556304
706,924.8817858
708,542.5385993
712,1019.790264
715,1587.432343
717,471.2268524
725,1153.263532
729,428.1765876
737,508.755492
739,2011.864189
747,1270.502034
753,914.7166585
758,798.2305674
759,761.1456961
763,555.1538544
773,1720.473755
774,754.1033483
776,604.9195436
788,1189.551913
790,823.1131326
794,400.3059416
801,949.7046455
802,588.0547223
805,462.2517458
809,1907.638405
812,570.97184
825,899.4692864
828,772.9489823
830,546.9195344
833,451.1502771
850,2113.696459
852,2152.946804
862,497.5759767
863,512.7655055
864,533.9077237
865,1241.758755
868,2097.31539
872,604.0733632
879,2010.949385
880,544.4870409
883,486.8796944
886,556.70009
923,713.0063808
924,541.6993369
932,485.6954593
945,2208.502543
947,2413.008703
948,783.9630483
955,1060.677971
963,1496.771247
979,472.8228303
989,503.9485634
994,1067.657961
995,629.6362836
998,516.7600707
1000,1453.07487
1018,562.8793573
1019,693.9615493
